date,adjClose
4/4/2019,26384.63086
4/5/2019,26424.99023
4/8/2019,26341.01953
4/9/2019,26150.58008
4/10/2019,26157.16016
4/11/2019,26143.05078
4/12/2019,26412.30078
4/15/2019,26384.76953
4/16/2019,26452.66016
4/17/2019,26449.53906
4/18/2019,26559.53906
4/22/2019,26511.05078
4/23/2019,26656.39063
4/24/2019,26597.05078
4/25/2019,26462.08008
4/26/2019,26543.33008
4/29/2019,26554.39063
4/30/2019,26592.91016
5/1/2019,26430.14063
5/2/2019,26307.78906
5/3/2019,26504.94922
5/6/2019,26438.48047
5/7/2019,25965.08984
5/8/2019,25967.33008
5/9/2019,25828.35938
5/10/2019,25942.36914
5/13/2019,25324.99023
5/14/2019,25532.05078
5/15/2019,25648.01953
5/16/2019,25862.67969
5/17/2019,25764
5/20/2019,25679.90039
5/21/2019,25877.33008
5/22/2019,25776.60938
5/23/2019,25490.4707
5/24/2019,25585.68945
5/28/2019,25347.76953
5/29/2019,25126.41016
5/30/2019,25169.88086
5/31/2019,24815.03906
6/3/2019,24819.7793
6/4/2019,25332.17969
6/5/2019,25539.57031
6/6/2019,25720.66016
6/7/2019,25983.93945
6/10/2019,26062.67969
6/11/2019,26048.50977
6/12/2019,26004.83008
6/13/2019,26106.76953
6/14/2019,26089.60938
6/17/2019,26112.5293
6/18/2019,26465.53906
6/19/2019,26504
6/20/2019,26753.16992
6/21/2019,26719.13086
6/24/2019,26727.53906
6/25/2019,26548.2207
6/26/2019,26536.82031
6/27/2019,26526.58008
6/28/2019,26599.96094
7/1/2019,26717.42969
7/2/2019,26786.67969
7/3/2019,26966
7/5/2019,26922.11914
7/8/2019,26806.14063
7/9/2019,26783.49023
7/10/2019,26860.19922
7/11/2019,27088.08008
7/12/2019,27332.0293
7/15/2019,27359.16016
7/16/2019,27335.63086
7/17/2019,27219.84961
7/18/2019,27222.9707
7/19/2019,27154.19922
7/22/2019,27171.90039
7/23/2019,27349.18945
7/24/2019,27269.9707
7/25/2019,27140.98047
7/26/2019,27192.44922
7/29/2019,27221.34961
7/30/2019,27198.01953
7/31/2019,26864.26953
8/1/2019,26583.41992
8/2/2019,26485.00977
8/5/2019,25717.74023
8/6/2019,26029.51953
8/7/2019,26007.07031
8/8/2019,26378.18945
8/9/2019,26287.43945
8/12/2019,25896.43945
8/13/2019,26279.91016
8/14/2019,25479.41992
8/15/2019,25579.39063
8/16/2019,25886.00977
8/19/2019,26135.78906
8/20/2019,25962.43945
8/21/2019,26202.73047
8/22/2019,26252.24023
8/23/2019,25628.90039
8/26/2019,25898.83008
8/27/2019,25777.90039
8/28/2019,26036.09961
8/29/2019,26362.25
8/30/2019,26403.2793
9/3/2019,26118.01953
9/4/2019,26355.4707
9/5/2019,26728.15039
9/6/2019,26797.46094
9/9/2019,26835.50977
9/10/2019,26909.42969
9/11/2019,27137.03906
9/12/2019,27182.44922
9/13/2019,27219.51953
9/16/2019,27076.82031
9/17/2019,27110.80078
9/18/2019,27147.08008
9/19/2019,27094.78906
9/20/2019,26935.07031
9/23/2019,26949.99023
9/24/2019,26807.76953
9/25/2019,26970.71094
9/26/2019,26891.11914
9/27/2019,26820.25
9/30/2019,26916.83008
10/1/2019,26573.03906
10/2/2019,26078.61914
10/3/2019,26201.03906
10/4/2019,26573.7207
10/7/2019,26478.01953
10/8/2019,26164.03906
10/9/2019,26346.00977
10/10/2019,26496.66992
10/11/2019,26816.58984
10/14/2019,26787.35938
10/15/2019,27024.80078
10/16/2019,27001.98047
10/17/2019,27025.88086
10/18/2019,26770.19922
10/21/2019,26827.64063
10/22/2019,26788.09961
10/23/2019,26833.94922
10/24/2019,26805.5293
10/25/2019,26958.06055
10/28/2019,27090.7207
10/29/2019,27071.46094
10/30/2019,27186.68945
10/31/2019,27046.23047
11/1/2019,27347.35938
